"Jewish Communities","ehri_terms",872
"Anti-Jewish orders and decrees","ehri_terms",339
"Jewish emigration","ehri_terms",880
"Anti-Jewish legislation","ehri_terms",335
"Reichsministerium des Innern","ehri_cb",798
"War Refugee Board","ehri_cb",350
"Germany","ehri_geo",1
