"הנהגה יהודית","ehri_terms",892
"פליטים גרמנים","ehri_terms",304
"Asoziale","ehri_terms",1219
"גירוש מפולין","ehri_terms",518
"גירוש יהודים ל-Transnistria","ehri_terms",518
"ארגוני עזרה וסעד","ehri_terms",317
"DP camps","ehri_terms",278
"חקיקה אנטי יהודית - בלגיה","ehri_terms",335
"Executions","ehri_terms",541
"Agriculture","ehri_terms",932
"Attitude towards Jews - English population","ehri_terms",815
"Attitude towards the Jews - Bulgaria and the Bulgarian population","ehri_terms",815
"Humor","ehri_terms",841
"משתפי פעולה פולנים למחיקה","ehri_terms",223
"Escape from the killing pits","ehri_terms",204
"אמנים יהודים","ehri_terms",678
"אוניות מעפילים","ehri_terms",301
"חיילים יהודים - הצבא האדום","ehri_terms",884
"הסתרת יהודים על ידי שם מזוייף","ehri_terms",262
"Camp life","ehri_terms",486
"סחיטה","ehri_terms",630
"יחס האוכלוסייה - אוסטרים","ehri_terms",813
"Jewish writers and poets","ehri_terms",682
"יחס לפליטים - פורטוגל","ehri_terms",814
"בריחה מטרנספורט","ehri_terms",204
"Rabbis","ehri_terms",735
"בתי כנסת","ehri_terms",758
"Deportation of Poles","ehri_terms",518
"פליטים","ehri_terms",304
"Secret services","ehri_terms",1117
"Ariernachweis","ehri_terms",382
"ארגונים נאציים","ehri_terms",358
"Hiding with Ukrainians","ehri_terms",262
"רדיפות יהודי רומניה","ehri_terms",642
"חיילים אמריקנים","ehri_terms",1097
"דברי אמנות","ehri_terms",674
"Funds","ehri_terms",935
"Antisemitism after the war - Romania","ehri_terms",329
"Antisemitism - Czechoslovakia","ehri_terms",329
"הגירה חוזרת","ehri_terms",203
"German refugees","ehri_terms",304
"מפלגות נאציות","ehri_terms",981
"Persecution of Polish Jews","ehri_terms",642
"מחבוא - ""מאלינה""","ehri_terms",262
"Deportees from Slovakia","ehri_terms",519
"Zionist movements","ehri_terms",871
"רופאים יהודיים","ehri_terms",1427
"Press","ehri_terms",1068
"Invasion","ehri_terms",1101
"Morbidity","ehri_terms",861
"Crematoria","ehri_terms",501
"Hungarian collaborators","ehri_terms",223
"מאסר","ehri_terms",652
"Aryan","ehri_terms",373
"Genealogy","ehri_terms",792
"Armband","ehri_terms",338
"Taxes and levies","ehri_terms",1047
"הגבלות","ehri_terms",658
"Mass escape","ehri_terms",204
"רכבות גירוש","ehri_terms",522
"Persecution of the Jews of Belorussia","ehri_terms",642
"Deportees from Romania","ehri_terms",519
"Antisemitism in Romania","ehri_terms",329
"Confiscation of Jewish property -  Protectorate","ehri_terms",585
"Attitude towards the Jews - Turkey and the Turkish population","ehri_terms",815
"Christians of Jewish origin","ehri_terms",804
"Anti-Jewish propaganda","ehri_terms",342
"Attitude of the Hungarian population","ehri_terms",813
"Hiding - malina","ehri_terms",262
"Emigration","ehri_terms",203
"החרמת מכשירי רדיו","ehri_terms",585
"Attitude towards the Jews - Russian population","ehri_terms",815
"בתי קברות יהודים","ehri_terms",750
"Arbeitseinsatz","ehri_terms",488
"Repatriation","ehri_terms",1226
"הסתרת מידע על ההשמדה","ehri_terms",262
"Deportation from Wartheland and other Polish areas annexed to Germany","ehri_terms",518
"כנסייה","ehri_terms",765
"Investigation Commissions","ehri_terms",955
"Attitude towards Jews - Lithuania and the Lithuanian population","ehri_terms",815
"Camouflage","ehri_terms",1096
"בריחה ממחנה השמדה","ehri_terms",204
"צייד נאצים","ehri_terms",1211
"Escape from camps","ehri_terms",204
"מחנות","ehri_terms",567
"מבצעים נגד פרטיזנים, ברית המועצות","ehri_terms",536
"חיי כלכלה","ehri_terms",816
"Attitude of the Slovakian population","ehri_terms",813
"טוהר הגזע","ehri_terms",370
"Antisemitic propaganda","ehri_terms",342
"Informers","ehri_terms",224
"בריחה מהשמדה","ehri_terms",204
"כיבוש","ehri_terms",632
"Attitude towards the Jews - Slovakia and the Slovakian population","ehri_terms",815
"משפטי פושעים","ehri_terms",1130
"Jewish institutions","ehri_terms",869
"מוסדות יהודיים","ehri_terms",869
"Attitude towards Jews - Hungary and the Hungarian population","ehri_terms",815
"רדיפות יהודי בולגריה","ehri_terms",642
"Escaping and joining the Partisans","ehri_terms",204
"Inheritance","ehri_terms",946
"מתנצרים","ehri_terms",803
"ספרות יהודית","ehri_terms",689
"Attitude of the Tunisian population","ehri_terms",813
"Sick people in hiding","ehri_terms",262
"העברת אוכלוסייה","ehri_terms",1173
"פרטיזנים - פולין","ehri_terms",1215
"Attitude towards the Jews - Greece and the Greek population","ehri_terms",815
"Jewish emigration","ehri_terms",880
"גירוש מהונגריה","ehri_terms",518
"מחקר","ehri_terms",782
"משתפי פעולה צ'כים","ehri_terms",223
"Courts","ehri_terms",1127
"גירוש יהודי אוסטריה","ehri_terms",518
"Attitude of the Luxemburgian population","ehri_terms",813
"Historiography of the Holocaust","ehri_terms",789
"משפטים בגרמניה הנאצית","ehri_terms",1130
"Refugees in Great Britain","ehri_terms",304
"Persecution of the Jews of Greece - to be deleted","ehri_terms",642
"יחס ליהודים - אסטוניה ואוכלוסייה אסטונית","ehri_terms",815
"Nazi parties","ehri_terms",981
"Antisemitic press","ehri_terms",341
"יתומים","ehri_terms",327
"Deportation by train","ehri_terms",522
"Refugee camps","ehri_terms",321
"Nazi hunters","ehri_terms",1211
"Anti-Jewish legislation - Poland","ehri_terms",335
"Austrian refugees","ehri_terms",304
"קברים","ehri_terms",748
"מחנה מעצר","ehri_terms",504
"ילדים","ehri_terms",824
"Literature","ehri_terms",679
"גירוש מבולגריה","ehri_terms",518
"Escape from the trains","ehri_terms",204
"Hostages","ehri_terms",663
"חקיקה אנטי יהודית - רומניה","ehri_terms",335
"יחס ליהודים - צ'כיה ואוכלוסייה צ'כית","ehri_terms",815
"אידיאולוגיה נאצית - גזענות ואנטישמיות","ehri_terms",363
"משפטי פושעים בצ'כוסלובקיה","ehri_terms",1130
"אמנות","ehri_terms",673
"החרמת רכוש לאומי","ehri_terms",585
"Jewish organizations","ehri_terms",868
"חיילים יהודים","ehri_terms",884
"דואר","ehri_terms",843
"אנטישמיות - לטביה","ehri_terms",329
"Escapes","ehri_terms",204
"Deportation from the Netherlands","ehri_terms",518
"Anti-Jewish legislation - Hungary","ehri_terms",335
"Culture","ehri_terms",672
"Family camps","ehri_terms",496
"Welfare institutions","ehri_terms",313
"גטואיזציה","ehri_terms",552
"Deportees from Hungary","ehri_terms",519
"Information concerning extermination","ehri_terms",268
"Soviet partisans","ehri_terms",1215
"Libraries","ehri_terms",706
"Announcements","ehri_terms",812
"Return emigration","ehri_terms",203
"בריחה ליערות","ehri_terms",204
"חילופי אוכלוסין","ehri_terms",1039
"מנזרים","ehri_terms",728
"הישרדות","ehri_terms",561
"Attitude of the population - Tatars","ehri_terms",813
"Underground fighters","ehri_terms",238
"רפטריאציה","ehri_terms",1226
"יחס ליהודים - אוכלוסייה רוסית","ehri_terms",815
"Extortion","ehri_terms",630
"בריאות","ehri_terms",791
"גירוש מיוגוסלביה","ehri_terms",518
"War crimes trials in the Soviet Union","ehri_terms",1130
"Deportation to Latvia","ehri_terms",518
"Attitude towards the Jews - Czechoslovakia and Czech population Jews","ehri_terms",815
"רכוש","ehri_terms",945
"בריחה משטח כבוש","ehri_terms",204
"הסתתרות אצל רומנים","ehri_terms",262
"Gendarmerie","ehri_terms",1124
"שריפת גופות","ehri_terms",516
"Diplomats","ehri_terms",1007
"German collaborators","ehri_terms",223
"אנטישמיות לפני המלחמה - פולין","ehri_terms",329
"Deportation from Denmark","ehri_terms",518
"מוסדות סעד","ehri_terms",313
"Conversion","ehri_terms",742
"איסור מקצוע","ehri_terms",608
"Blood libel","ehri_terms",344
"ניסויים רפואיים","ehri_terms",495
"Ukrainian partisans","ehri_terms",1215
"שירותים חשאיים","ehri_terms",1117
"מחנות הנהלה","ehri_terms",482
"בריחה ממחנות עבודה","ehri_terms",204
"Assassination attempt","ehri_terms",184
"War crimes trials in the French Occupied Zone","ehri_terms",1130
"Censorship","ehri_terms",610
"Attitude of the Norwegian population","ehri_terms",813
"ספרות השואה","ehri_terms",685
"חיילים צרפתים למחיקה","ehri_terms",1097
"יהודי פולין - שילוחים","ehri_terms",518
"Burning of synagogues","ehri_terms",646
"קברים המוניים","ehri_terms",539
"אנטישמיות לפני המלחמה - אוסטריה","ehri_terms",329
"קאפו","ehri_terms",485
"Economic legislation","ehri_terms",1046
"British collaborators","ehri_terms",223
"Gendarmes","ehri_terms",1125
"Art","ehri_terms",673
"תעודות נישואין","ehri_terms",1139
"Attitude towards the Jews- Soviet population","ehri_terms",815
"אנטישמיות - פרטיזנים","ehri_terms",329
